source_name,indicator_id,normalized_name,mapping_status,basis
% Completion of electronic positive patient identification (PPID) and Positive Accession Identification (PAID),ind_47518239c5cfbc55,% Completion of electronic positive patient identification (PPID) and Positive Accession Identification (PAID),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% Completion of of quality initiatives aimed to strengthen cultural safety and reconciliation actions.,ind_8278ab0c2ee42a4a,% Completion of of quality initiatives aimed to strengthen cultural safety and reconciliation actions.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% ED nursing staff trained on sickle cell disease presentation and management.,ind_f2af83b4d79810e3,% ED nursing staff trained on sickle cell disease presentation and management.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% Emergency use of physical restraints during inpatient stay (excludes the Emergency Department),ind_a805e3c9031b2d04,% Emergency use of physical restraints during inpatient stay (excludes the Emergency Department),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% Improvement in nursing turnover and achieve a ZERO Never Event related to the premature departure (voluntary) within two years of hire,ind_444ce554025de292,% Improvement in nursing turnover and achieve a ZERO Never Event related to the premature departure (voluntary) within two years of hire,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% Inpatients with a Clinical Assessment Protocol (CAPS) in the Recovery Plan of Care (RPOC) tool updated in 28 days,ind_cc871288a2b93224,% Inpatients with a Clinical Assessment Protocol (CAPS) in the Recovery Plan of Care (RPOC) tool updated in 28 days,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% Nursing turnover (voluntary) within two years of hire,ind_e9d809a5a3850c4c,% Nursing turnover (voluntary) within two years of hire,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% Psycho-Social Assessments completed within 21 days of admission,ind_f0feca09ae8284d0,% Psycho-Social Assessments completed within 21 days of admission,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% Restraint events in inpatient mental health that have been audited by leadership within 72 hours.,ind_45826902d7f50e63,% Restraint events in inpatient mental health that have been audited by leadership within 72 hours.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% admissions meeting admission target ( ready to admission ),ind_ba7c39fa21e01f15,% admissions meeting admission target ( ready to admission ),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% admissions meeting admission target ( ready to admission from acute care ),ind_94aed56016beccb0,% admissions meeting admission target ( ready to admission from acute care ),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% change in WPV incident reporting that meets criteria,ind_30c05f43af2b7576,% change in WPV incident reporting that meets criteria,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% completed Medication Reconciliation on Admission within 48 hrs  / All admitted patients staying >48 hrs (excluding infants that are born in the hospital),ind_1473113db2109179,% completed Medication Reconciliation on Admission within 48 hrs / All admitted patients staying >48 hrs (excluding infants that are born in the hospital),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% compliance rate for scanning bar coded medications by staff who administer medication.,ind_5b7acc66adc8a190,% compliance rate for scanning bar coded medications by staff who administer medication.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% emergency use of physical restraints during inpatient stay (excludes the Emergency Department),ind_cfb0bf8dc3e49a9e,% emergency use of physical restraints during inpatient stay (excludes the Emergency Department),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% inpatients over 65 yrs who have delirium assessments recorded in HIS,ind_0da1c28451692866,% inpatients over 65 yrs who have delirium assessments recorded in HIS,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of EDIB Actions Completed(Number of Actions Completed/Total Actions Identified) x 100,ind_699761ad18c62e59,% of EDIB Actions Completed(Number of Actions Completed/Total Actions Identified) x 100,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of Emergency Department (ED) visits (non-admitted) discharged within their CTAS appropriate target,ind_825d2604f2093328,% of Emergency Department (ED) visits (non-admitted) discharged within their CTAS appropriate target,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of Hospital and Long-Term Care Home Leaders complete at least one foundational and one applied equity, diversity and inclusion designated educational session by March 2027",ind_6a389d3913ae58c3,"% of Hospital and Long-Term Care Home Leaders complete at least one foundational and one applied equity, diversity and inclusion designated educational session by March 2027",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of Leaders completing four IDEAA self-directed or focused learning and development sessions,ind_99683066bae3ad6d,% of Leaders completing four IDEAA self-directed or focused learning and development sessions,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of Patients/Clients who completed sociodemographic data collection questions during ER Visit, Acute Admission, Community Counseling Admission",ind_1a2e045837f1350f,"% of Patients/Clients who completed sociodemographic data collection questions during ER Visit, Acute Admission, Community Counseling Admission",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of Serious Safety Event (including CI) Reviews with Race/Ethnicity/ Language Identified,ind_6ae408d1b870e390,% of Serious Safety Event (including CI) Reviews with Race/Ethnicity/ Language Identified,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of Staff completing Anti-Racism Learning Module,ind_7d319cc031f72322,% of Staff completing Anti-Racism Learning Module,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of Surgical Services Closures,ind_e2749448feca2193,% of Surgical Services Closures,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of active staff (executive-level, management, or all) who have completed a refresher course on equity, diversity, inclusion, and antiracism.",ind_942c5dfd90dd7b62,"% of active staff (executive-level, management, or all) who have completed a refresher course on equity, diversity, inclusion, and antiracism.",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of active staff (executive-level, management, or all) who have completed anti-stigma training relating to mental health and addictions",ind_1cef6d95f29c6ae3,"% of active staff (executive-level, management, or all) who have completed anti-stigma training relating to mental health and addictions",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of all staff who have completed EDI training and respond yes to “I will make changes to support EDI at the Royal as a result of this training – yes or no”. Target 80%.,ind_685bf8d59d027255,% of all staff who have completed EDI training and respond yes to “I will make changes to support EDI at the Royal as a result of this training – yes or no”. Target 80%.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of applicable Waypoint inpatient discharges that have a subsequent unscheduled ED visit for a MH&A reason within 30 days of their Waypoint inpatient discharge,ind_c090a4c58ec89636,% of applicable Waypoint inpatient discharges that have a subsequent unscheduled ED visit for a MH&A reason within 30 days of their Waypoint inpatient discharge,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of applicable Waypoint inpatient discharges that have a subsequent unscheduled ED visit for a MH&A reason within 30 days of their Waypoint inpatient discharge.,ind_5c00ebb9a77a1e82,% of applicable Waypoint inpatient discharges that have a subsequent unscheduled ED visit for a MH&A reason within 30 days of their Waypoint inpatient discharge.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of clinical programs that have completed an EQUIP Organizational Equity Self Assessment to identify equity strengths and gaps,ind_906087f3facc6965,% of clinical programs that have completed an EQUIP Organizational Equity Self Assessment to identify equity strengths and gaps,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of front-line staff and physicians in the past 12 months who have experienced or witnessed unfair treatment or discrimination at work based on personal characteristics.,ind_7b9e382b93ff8b4a,% of front-line staff and physicians in the past 12 months who have experienced or witnessed unfair treatment or discrimination at work based on personal characteristics.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of hospital readmissions within 30 days.(EFFICIENT),ind_28e759ab1872d857,% of hospital readmissions within 30 days.(EFFICIENT),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of inpatients that respond ""strongly agree/ agree"" to OPOC question 29 'Staff helped me identify where to get support after I finish my program/ treatment'",ind_ee69bc8f2064d952,"% of inpatients that respond ""strongly agree/ agree"" to OPOC question 29 'Staff helped me identify where to get support after I finish my program/ treatment'",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of leadership (Directors, Physician Chiefs, and Senior Leadership Team members) completing DEI learning modules (DEI Fundamentals, Understanding Bias, Cultural Competency)",ind_ea03f2ae8b87505d,"% of leadership (Directors, Physician Chiefs, and Senior Leadership Team members) completing DEI learning modules (DEI Fundamentals, Understanding Bias, Cultural Competency)",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of patient who achieve a change of 6 points or more on the PHQ9 score and/or 4 points or more on their GAD-7 score after finished treatment at discharge. In scope outpatient clinics are AMD, OSP and Women's MH clinic. Discharge reason is planned discharges.",ind_07b9083119b4b275,"% of patient who achieve a change of 6 points or more on the PHQ9 score and/or 4 points or more on their GAD-7 score after finished treatment at discharge. In scope outpatient clinics are AMD, OSP and Women's MH clinic. Discharge reason is planned discharges.",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of patients identified by staff at registration as requiring interpretation services who receive interpretation support during their visit.,ind_a8d66ff6ec15c60e,% of patients identified by staff at registration as requiring interpretation services who receive interpretation support during their visit.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of patients physically restrained during inpatient stay,ind_e5c01cad37a7ec68,% of patients physically restrained during inpatient stay,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of patients screened at registration who have been asked the question "" Do you self-identify as Indigenous?""",ind_b6a26ad9a75e4187,"% of patients screened at registration who have been asked the question "" Do you self-identify as Indigenous?""",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of patients who select the top-box answer (always) for respect and dignity/ courtesy  (%/ ED patients),ind_47a08018e0b284e3,% of patients who select the top-box answer (always) for respect and dignity/ courtesy (%/ ED patients),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of patients who select the top-box answer (always) for respect and dignity/ courtesy (%/ Inpatients),ind_7fc5c7fcbc486130,% of patients who select the top-box answer (always) for respect and dignity/ courtesy (%/ Inpatients),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of patients who select the top-box answer for courtesy and respect,ind_74f60f70ac51d62f,% of patients who select the top-box answer for courtesy and respect,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of patients who select the top-box answer for courtesy and respect.,ind_74f6f98f9641e372,% of patients who select the top-box answer for courtesy and respect.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of patients who visited the ED and left without being seen by a physician.,ind_3e46ac6dca5208d9,% of patients who visited the ED and left without being seen by a physician.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of patients who visited the Emergency Department and left without being seen by a provider,ind_92ba66c7959681b2,% of patients who visited the Emergency Department and left without being seen by a provider,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of patients with a progressive, life limiting illness, that are identified to benefit from palliative care, who subsequently have their palliative care needs assessed using a comprehensive and holistic approach.",ind_4306eceadd98524d,"% of patients with a progressive, life limiting illness, that are identified to benefit from palliative care, who subsequently have their palliative care needs assessed using a comprehensive and holistic approach.",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of physical restraints events longer than 4 hours in the ED,ind_c9abd14221b4c807,% of physical restraints events longer than 4 hours in the ED,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of policies and procedures that were translated into another language to accommodate current staff who might prefer the policies and procedures for their department be in their own language.,ind_1b452f651edbf6dc,% of policies and procedures that were translated into another language to accommodate current staff who might prefer the policies and procedures for their department be in their own language.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of positive responses to the question “From now on, I know what to expect about my care” from our discharge patient satisfaction survey data.",ind_4704fa30d04ddc65,"% of positive responses to the question “From now on, I know what to expect about my care” from our discharge patient satisfaction survey data.",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of readmissions within 30 days of discharge.,ind_7bfbc51bb5337fae,% of readmissions within 30 days of discharge.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of repeat ED visits for mental health and addictions (MHA) conditions.,ind_002910b76aeb5d4f,% of repeat ED visits for mental health and addictions (MHA) conditions.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of repeat visits within 72 hours that have admission on second visit to ED,ind_6b24c326f0270512,% of repeat visits within 72 hours that have admission on second visit to ED,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of repeat visits within 72 hours that have admission on second visit to ED.,ind_7bfa8da796d21230,% of repeat visits within 72 hours that have admission on second visit to ED.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of repeat visits within 72 hours that have admission on second visit.,ind_801b4b01f6491785,% of repeat visits within 72 hours that have admission on second visit.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of required staff who have completed the refreshed de-escalation training, which integrates trauma-informed care and non-violent crisis intervention.",ind_f8af020bb1ba7138,"% of required staff who have completed the refreshed de-escalation training, which integrates trauma-informed care and non-violent crisis intervention.",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of respondents who answered “9 and 10” to the question: Overall Experience?,ind_069bd744b3ad2b14,% of respondents who answered “9 and 10” to the question: Overall Experience?,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of respondents who responded "" Yes"" to the question- "" Did you receive enough information about what to do if you were worried about your condition or treatment after you left the hospital"".",ind_8850b9a33d8c579b,"% of respondents who responded "" Yes"" to the question- "" Did you receive enough information about what to do if you were worried about your condition or treatment after you left the hospital"".",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of respondents who responded 'always' to the following question "" Were you involved as much as you wanted to be in decisions about your care and treatment?”",ind_907029c2d837a06d,"% of respondents who responded 'always' to the following question "" Were you involved as much as you wanted to be in decisions about your care and treatment?”",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of respondents who responded positively (Always, I did not want them to be involved, I did not have family or friends to be involved) to the following question:  Were your family or friends involved as much as you wanted in decisions about your care and treatment?",ind_9ce153b768fba71e,"% of respondents who responded positively (Always, I did not want them to be involved, I did not have family or friends to be involved) to the following question: Were your family or friends involved as much as you wanted in decisions about your care and treatment?",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of respondents who responded positively (Always, I did not want them to be involved, I did not have family or friends to be involved) to the following question: were your family or friends involved as much as you wanted in decisions about your care and treatment?",ind_16397b38ca4ac132,"% of respondents who responded positively (Always, I did not want them to be involved, I did not have family or friends to be involved) to the following question: were your family or friends involved as much as you wanted in decisions about your care and treatment?",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of speciality clinic NOVARI referrals entered electronically from the DRHC Emergency Department,ind_a8aeeff42beb53ea,% of speciality clinic NOVARI referrals entered electronically from the DRHC Emergency Department,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of staff compliance with hand hygiene before patient environment contact,ind_be7a01c0caee1865,% of staff compliance with hand hygiene before patient environment contact,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of staff educated on new ""Code White"" procedure to include Panic Alarm systems",ind_12363f414148fc0f,"% of staff educated on new ""Code White"" procedure to include Panic Alarm systems",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of staff who completed relevant equity, diversity, inclusion and anti-racism education.",ind_03d0085835fa067f,"% of staff who completed relevant equity, diversity, inclusion and anti-racism education.",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of staff who have completed relevant equity, diversity, inclusion, and /or indigenous cultural education",ind_71dd959aad873107,"% of staff who have completed relevant equity, diversity, inclusion, and /or indigenous cultural education",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of teams of completing an improvement huddle at least once per month,ind_0f6aaf5b70f35ede,% of teams of completing an improvement huddle at least once per month,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of the leadership team who have completed relevant equity, diversity, inclusion and anti-racism education (focus on Indigenous Cultural Awareness)",ind_5b27255da8f0f057,"% of the leadership team who have completed relevant equity, diversity, inclusion and anti-racism education (focus on Indigenous Cultural Awareness)",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% of time we conduct a Home First Meeting within 72 hours of patients being designated ""medically stable""",ind_a26d16f4eb1c2e22,"% of time we conduct a Home First Meeting within 72 hours of patients being designated ""medically stable""",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% of workplace violence incidents resulting in lost time injury,ind_af1e9ec0347b8a40,% of workplace violence incidents resulting in lost time injury,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% patients designated ALC – Long Term Care (open cases),ind_27a1238a49b8aa38,% patients designated ALC – Long Term Care (open cases),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% patients that feel they received adequate information about their health and their care at discharge (Acute Care).,ind_e63d71cca8e6064b,% patients that feel they received adequate information about their health and their care at discharge (Acute Care).,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% patients that feel they received adequate information about their health and their care at discharge (ED).,ind_d77211a0b132c00b,% patients that feel they received adequate information about their health and their care at discharge (ED).,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% positive responses to the PEP survey question “There were enough activities of interest to me during free time""",ind_f5ca02e1dbd1898d,"% positive responses to the PEP survey question “There were enough activities of interest to me during free time""",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% positive responses to the annual PEP survey question ""I felt safe in the facility at all times""",ind_0e51d74379ca749f,"% positive responses to the annual PEP survey question ""I felt safe in the facility at all times""",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"% positive responses to the annual PEP survey question “Staff were sensitive to my cultural needs (e.g. language, ethnic background, race).”",ind_66653825134a6f34,"% positive responses to the annual PEP survey question “Staff were sensitive to my cultural needs (e.g. language, ethnic background, race).”",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% reportable (healthcare or lost time) of workplace violence incidents,ind_7cec6e2a5d9001b3,% reportable (healthcare or lost time) of workplace violence incidents,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% wait list priority targets for all surgeries (long waiters),ind_e8e1c9cf19929393,% wait list priority targets for all surgeries (long waiters),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"1. Reduce 90th Percentile Time to Inpatient Bed by 5% by February 26, 2027, in alignment with the target outlined in the HPHA Patient Flow Policy.2. Reduce 90th Percentile ED LOS by 3% by February 26, 2027.",ind_b2e36c3411602e22,"1. Reduce 90th Percentile Time to Inpatient Bed by 5% by February 26, 2027, in alignment with the target outlined in the HPHA Patient Flow Policy.2. Reduce 90th Percentile ED LOS by 3% by February 26, 2027.",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"1. a) Complete a review and evaluation of crisis intervention, de-escalation and trauma-informed care training and education and recommend preferred program by September 30, 2026.b) Develop and recommend sustainable staff training plan for approval by Feb 26, 20272. Phase 1: Review and revise Code White policy by Sept 30, 2026 Phase 2: Revise Code White policy as appropriate depending on preferred crisis intervention, de-escalation and trauma-informed care training and education program for staff by Feb. 26, 2027.3. a) Conduct site visits by June 30, 2026.b) Review, evaluate and recommend environmental factors to balance patient and staff safety, and patient experience in designated ED rooms by December 31, 2026.c) Begin implementation of standardized designated room design features if funding available in 2026/27.d) Review, revise, provide education, and implement monitoring protocols of patients in designated ED rooms by December 31, 2026.",ind_ca7c0b06bfada3d0,"1. a) Complete a review and evaluation of crisis intervention, de-escalation and trauma-informed care training and education and recommend preferred program by September 30, 2026.b) Develop and recommend sustainable staff training plan for approval by Feb 26, 20272. Phase 1: Review and revise Code White policy by Sept 30, 2026 Phase 2: Revise Code White policy as appropriate depending on preferred crisis intervention, de-escalation and trauma-informed care training and education program for staff by Feb. 26, 2027.3. a) Conduct site visits by June 30, 2026.b) Review, evaluate and recommend environmental factors to balance patient and staff safety, and patient experience in designated ED rooms by December 31, 2026.c) Begin implementation of standardized designated room design features if funding available in 2026/27.d) Review, revise, provide education, and implement monitoring protocols of patients in designated ED rooms by December 31, 2026.",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
10% reduction in surgical waitlist cases,ind_2eb49838a0828aa3,10% reduction in surgical waitlist cases,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
28-Day All-Cause Hospital Readmission Rate (Inpatient),ind_6601b1755e5efd53,28-Day All-Cause Hospital Readmission Rate (Inpatient),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
3% increase in cumulative health equity survey responses,ind_260dae9a5fb06c86,3% increase in cumulative health equity survey responses,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
30 day revisit to ED,ind_adc3d8deab11fe68,30 day revisit to ED,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
30 day revisit to Emergency Department,ind_746b689c5c391f73,30 day revisit to Emergency Department,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
30-Day medical readmission rate,ind_097db599a9b16504,30-Day medical readmission rate,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
90% ED Length of Stay (LOS Reg/Triage to Depart ER (admitted patients),ind_4bd4d59e27d820a2,90% ED Length of Stay (LOS Reg/Triage to Depart ER (admitted patients),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
90% ED Length of Stay (LOS) Reg/Triage to Depart ER (Admitted Patients),ind_c28653b45c3c11de,90% ED Length of Stay (LOS) Reg/Triage to Depart ER (Admitted Patients),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
90% percentile Emergency Department wait time to inpatient bed.,ind_b4864347e5adcd73,90% percentile Emergency Department wait time to inpatient bed.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
90th Percentile AOT for ED patients.,ind_7c1f34d5eeed415b,90th Percentile AOT for ED patients.,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
90th Percentile ED Length of Say,ind_3fc7a2799d7f4896,90th Percentile ED Length of Say,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
90th Percentile ED Length of Stay (LOS) for admitted patients,ind_895e9bd7d98a91cc,90th Percentile ED Length of Stay (LOS) for admitted patients,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
90th Percentile Emergency Department Admitted Length of Stay,ind_4dca8fff642fa843,90th Percentile Emergency Department Admitted Length of Stay,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
90th Percentile Emergency Department Wait Time for Inpatient Bed (length of stay for inpatient bed waiting as an ED inpatient until physically transferred to an inpatient bed),ind_75ae7cc714186667,90th Percentile Emergency Department Wait Time for Inpatient Bed (length of stay for inpatient bed waiting as an ED inpatient until physically transferred to an inpatient bed),accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
90th Percentile PIA Time in the Emergency Department (ED).,ind_02de1a41db3a2aae,90th Percentile PIA Time in the Emergency Department (ED).,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
90th Percentile time (in hours) from Triage to Provider Initial Assessment (PIA) for Canadian Triage & Acuity Screening (CTAS) levels 1 & 2,ind_f8839429fcf611d5,90th Percentile time (in hours) from Triage to Provider Initial Assessment (PIA) for Canadian Triage & Acuity Screening (CTAS) levels 1 & 2,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
90th percentile Acute Care wait time for a Rehabilitative Care Bed. The time in days from date of acute care referral to date admitted to rehabilitative care bed,ind_c6220b132f4fe867,90th percentile Acute Care wait time for a Rehabilitative Care Bed. The time in days from date of acute care referral to date admitted to rehabilitative care bed,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
90th percentile ED LOS for Admitted Patients,ind_bf93f6b2d08aea6a,90th percentile ED LOS for Admitted Patients,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
90th percentile ED length of stay,ind_3fdbfa1beb8cd349,90th percentile ED length of stay,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
