cycle_id,organization_id,indicator_id,plan_fiscal_year,progress_report_fiscal_year,cycle_valid,match_status,match_method,review_reasons,ed_scope,direction,normalized_unit,normalized_population,comparable,context_provenance,comparison_basis,observation_period_status,baseline_periods_raw,previous_value,previous_status,previous_values_raw,target_value,target_status,target_values_raw,current_value,current_status,current_values_raw,outcome_class,performance_change,performance_change_pct,improvement_pct,target_met,outcome_reason,target_reason,workplan_row_count,progress_row_count,workplan_source_ids,progress_source_ids,intervention_count,workplan_intervention_count,progress_only_intervention_count,implementation_status,implementation_conflict_count,region_values,hospital_model_values,reporting_period_verified,population_verified,unit_verified,comparison_eligible,comparison_exclusion_reasons,reporting_period_evidence,reporting_period_evidence_source_ids,baseline_start,baseline_end,followup_start,followup_end,primary_analysis_period,analysis_eligible,analysis_exclusion_reason,numeric_change_candidate,category_count_per_cycle,classified_category_count_per_cycle,single_category_cycle,multi_category_cycle,has_unclassified_interventions,single_classified_category_cycle,hospital_model,region
cycle_0b546e286246055d5a75,org_004976c32c109a2a,ind_7ebd4762b8a6c688,2025/26,2026/27,true,workplan_only,,"[""workplan_only""]",included,lower_is_better,hours,ed patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI NACRS / Other""]",8.47,numeric,"[""8.47""]",7.00,numeric,"[""7.00""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]","[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",1,0,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_763""]",[],1,1,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,true,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,false,true,Small Hospital,East Region
cycle_c7eab336f18f1bbcf2fb,org_004976c32c109a2a,ind_a8f6cca5fe8befdf,2025/26,2026/27,true,workplan_only,,"[""workplan_only""]",excluded,lower_is_better,percent,hospital admitted patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI DAD / Quarter""]",,X,"[""X""]",0.00,numeric,"[""0.00""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""previous_X"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]","[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",1,0,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_759""]",[],1,1,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,outside primary ED analysis scope,false,1,1,true,false,false,true,Small Hospital,East Region
cycle_9615db292a317e211200,org_004976c32c109a2a,ind_c88639d5b7683c20,2024/25,2025/26,true,matched,exact,"[""unknown_indicator_direction""]",needs_review,unknown,percent,residents,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""Local data collection / April - March""]",50.00,numeric,"[""50.00""]",5.00,numeric,"[""5.00""]",14.00,numeric,"[""14.00""]",Insufficient data,,,,,"[""unknown_indicator_direction"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""indicator_definition_unverified""]","[""unknown_indicator_direction"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""indicator_definition_unverified""]",1,1,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_674""]","[""file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_570""]",1,1,0,Implemented,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""indicator_definition_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,outside primary ED analysis scope,false,1,0,true,false,true,false,Small Hospital,East Region
cycle_5253ad9bdb2d5256e177,org_004976c32c109a2a,ind_cd57992e4ca687e8,2024/25,2025/26,true,workplan_only,,"[""workplan_only"",""unknown_indicator_direction""]",needs_review,unknown,ratio,alc patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""WTIS / Quarter""]",0.93,numeric,"[""0.93""]",1.00,numeric,"[""1.00""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""unknown_indicator_direction"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]","[""workplan_only"",""unknown_indicator_direction"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",2,0,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_668"",""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_669""]",[],2,2,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,outside primary ED analysis scope,false,1,0,true,false,true,false,Small Hospital,East Region
cycle_2675e9372c713b886280,org_004976c32c109a2a,ind_dd27b495d4655058,2025/26,2026/27,true,matched,exact,"[""unknown_unit_or_population"",""unknown_indicator_direction""]",needs_review,unknown,unknown,ed patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI NACRS / April - March""]",19.00,numeric,"[""19.00""]",10.00,numeric,"[""10.00""]",5.40,numeric,"[""5.40""]",Insufficient data,,,,,"[""unknown_unit_or_population"",""unknown_indicator_direction"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""indicator_definition_unverified""]","[""unknown_unit_or_population"",""unknown_indicator_direction"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""indicator_definition_unverified""]",1,1,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_767""]","[""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_669""]",1,1,0,Implemented,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""indicator_definition_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,outside primary ED analysis scope,false,1,0,true,false,true,false,Small Hospital,East Region
cycle_58a4dd9846176bd4eeb6,org_004976c32c109a2a,ind_e666bcb709405e0f,2025/26,2026/27,true,workplan_only,,"[""workplan_only""]",included,lower_is_better,hours,ed patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI NACRS / Other""]",7.28,numeric,"[""7.28""]",4.00,numeric,"[""4.00""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]","[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",1,0,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_762""]",[],1,1,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,true,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,false,true,Small Hospital,East Region
cycle_84deca07a35320a986aa,org_004976c32c109a2a,ind_e7cd9b5804f1c518,2025/26,2026/27,true,matched,exact,[],included,lower_is_better,hours,ed patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI NACRS / Other""]",5.87,numeric,"[""5.87""]",4.00,numeric,"[""4.00""]",5.30,numeric,"[""5.30""]",Insufficient data,,,,,"[""reporting_period_unverified""]","[""reporting_period_unverified""]",1,1,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_764""]","[""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_667""]",1,1,0,Not implemented,0,"[""East Region""]","[""Small Hospital""]",false,true,true,false,"[""reporting_period_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,true,false,reporting_period_unverified,true,1,1,true,false,false,true,Small Hospital,East Region
cycle_9a71448d549efdc02a5b,org_004976c32c109a2a,ind_ee70b593aad3e4f6,2024/25,2025/26,true,workplan_only,,"[""workplan_only""]",included,lower_is_better,minutes,patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI NACRS / Other""]",26.00,numeric,"[""26.00""]",25.00,numeric,"[""25.00""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]","[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",1,0,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_667""]",[],1,1,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,insufficient first-cycle ED longitudinal coverage,false,1,1,true,false,false,true,Small Hospital,East Region
cycle_ac12907f4eec0fa0b11a,org_004976c32c109a2a,ind_ee70b593aad3e4f6,2025/26,2026/27,true,matched,exact,[],included,lower_is_better,minutes,patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI NACRS / Other""]",23,numeric,"[""23"",""23.00""]",21,numeric,"[""21"",""21.00""]",54,numeric,"[""54""]",Insufficient data,,,,,"[""reporting_period_unverified""]","[""reporting_period_unverified""]",1,1,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_755""]","[""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_666""]",1,1,0,Not implemented,0,"[""East Region""]","[""Small Hospital""]",false,true,true,false,"[""reporting_period_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,true,false,reporting_period_unverified,true,1,1,true,false,false,true,Small Hospital,East Region
cycle_a9363ee69661c11fc1f2,org_004976c32c109a2a,ind_ef4a9573ead4ee92,2025/26,2026/27,true,workplan_only,,"[""workplan_only""]",included,lower_is_better,hours,ed patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI NACRS / Other""]",28.67,numeric,"[""28.67""]",24.00,numeric,"[""24.00""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]","[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",2,0,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_756"",""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_757""]",[],2,2,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,true,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,2,2,false,true,false,false,Small Hospital,East Region
cycle_a067feae940a3703722f,org_004976c32c109a2a,ind_f197a93604c302d2,2025/26,2026/27,true,workplan_only,,"[""workplan_only""]",included,lower_is_better,hours,ed patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI NACRS / Other""]",39.50,numeric,"[""39.50""]",25.00,numeric,"[""25.00""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]","[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",1,0,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_766""]",[],1,1,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,true,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,false,true,Small Hospital,East Region
cycle_941400a2d78a35ac3af3,org_01f7d38f0c7f1cff,ind_0646035afd9bba7c,2024/25,2025/26,true,workplan_only,,"[""workplan_only""]",excluded,higher_is_better,percent,discharged patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""Local data collection / Other""]",91.10,numeric,"[""91.10""]",96.00,numeric,"[""96.00""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]","[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",1,0,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_730""]",[],1,1,0,Unknown,0,"[""West Region""]","[""Large Community Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,outside primary ED analysis scope,false,1,1,true,false,false,true,Large Community Hospital,West Region
