cycle_id,primary_category,intervention_category,interventions_in_category,cycle_outcome,target_met,organization_id,indicator_id,hospital_model,region,plan_fiscal_year,ed_scope,analysis_eligible,analysis_exclusion_reason,comparison_eligible,category_count_per_cycle,classified_category_count_per_cycle,single_category_cycle,multi_category_cycle,single_classified_category_cycle,has_unclassified_interventions,intervention_ids
cycle_0bfd9faed8fe37aed590,Care Coordination & Communication,Care Coordination & Communication,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_5b2e1352e31909e8,Large Community Hospital,West Region,2025/26,included,false,reporting_period_unverified,false,1,1,true,false,true,false,"[""intervention_074065c430dc4aabae77""]"
cycle_ad2882bb6e3664ef3921,Care Coordination & Communication,Care Coordination & Communication,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_67ee717abbe20a1b,Large Community Hospital,West Region,2024/25,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_9e8fc725a68165a2c4ad""]"
cycle_0f9d26f641e37da621eb,Care Coordination & Communication,Care Coordination & Communication,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_67ee717abbe20a1b,Large Community Hospital,West Region,2025/26,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_8786f0af33d62769ac23""]"
cycle_a5234444ac830000541e,Training & Education,Training & Education,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_76002f26f7141f1f,Large Community Hospital,West Region,2025/26,needs_review,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_ac89a4699d0f4fcfa117""]"
cycle_b9611184bae1821602af,Emergency Department Workflow,Emergency Department Workflow,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_7ebd4762b8a6c688,Large Community Hospital,West Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_d6ed44a27562e5d78c5e""]"
cycle_785b97adcc2c8756ef29,Training & Education,Training & Education,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_a8f6cca5fe8befdf,Large Community Hospital,West Region,2025/26,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_fea703279823dff84d45""]"
cycle_a66e31723691babf81ba,Emergency Department Workflow,Emergency Department Workflow,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_c2ff2b1872f9acce,Large Community Hospital,West Region,2025/26,needs_review,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_609a7246e56b8dbb2f4f""]"
cycle_741da508ecf73894f028,Discharge & Transition Planning,Discharge & Transition Planning,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_cd57992e4ca687e8,Large Community Hospital,West Region,2024/25,needs_review,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_2894ce9564cf8375b538""]"
cycle_c247d9fdc6b32ee7533c,Emergency Department Workflow,Emergency Department Workflow,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_e666bcb709405e0f,Large Community Hospital,West Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_39a29d4318d124630fbd""]"
cycle_6f5c3bb72c63ebab9e70,Staffing & Scheduling,Staffing & Scheduling,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_e7cd9b5804f1c518,Large Community Hospital,West Region,2025/26,included,false,reporting_period_unverified,false,1,1,true,false,true,false,"[""intervention_89841ac6444a6d57d8ff""]"
cycle_761aa050caf53fc4e015,Ambulance / EMS Flow,Ambulance / EMS Flow,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_ee70b593aad3e4f6,Large Community Hospital,West Region,2025/26,included,false,reporting_period_unverified,false,1,1,true,false,true,false,"[""intervention_7b3bd4834ef5c93a344f""]"
cycle_6ccae5efdb49df17a59d,Emergency Department Workflow,Emergency Department Workflow,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_ef4a9573ead4ee92,Large Community Hospital,West Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_55a47fbd3468ca12e13e""]"
cycle_ee38fe13fb59a0d1715d,Emergency Department Workflow,Emergency Department Workflow,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_f197a93604c302d2,Large Community Hospital,West Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_61a0a3f89e721b4cf6a5""]"
cycle_2f6c3e1b5a966b790005,Discharge & Transition Planning,Discharge & Transition Planning,1,Insufficient data,,org_0544e3760b9436c3,ind_0646035afd9bba7c,Large Community Hospital,Toronto Region,2024/25,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_bb477c1b399441398c46""]"
cycle_2291098899089fe3cdfa,Discharge & Transition Planning,Discharge & Transition Planning,2,Insufficient data,,org_0544e3760b9436c3,ind_0646035afd9bba7c,Large Community Hospital,Toronto Region,2025/26,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_18988a960ad95c58a6e2"",""intervention_dbb71a5661ce51c3f206""]"
cycle_d80522674d759a4c4b13,Bed & Capacity Management,Bed & Capacity Management,1,Insufficient data,,org_0544e3760b9436c3,ind_06590f50f65eac7e,Large Community Hospital,Toronto Region,2024/25,included,false,insufficient first-cycle ED longitudinal coverage,false,1,1,true,false,true,false,"[""intervention_e97f96e7a3f77826fd0b""]"
cycle_3140ca3ffc4721de4250,Admission & Transfer Process,Admission & Transfer Process,1,Insufficient data,,org_0544e3760b9436c3,ind_06590f50f65eac7e,Large Community Hospital,Toronto Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_90ee84f139e2980a39aa""]"
cycle_5db3d39c3a14d92565f1,Care Coordination & Communication,Care Coordination & Communication,1,Insufficient data,,org_0544e3760b9436c3,ind_37478f8fb5db2bb6,Large Community Hospital,Toronto Region,2024/25,excluded,false,outside primary ED analysis scope,false,2,2,false,true,false,false,"[""intervention_64349caa5d20dd500307""]"
cycle_5db3d39c3a14d92565f1,"Data, Measurement & Dashboards","Data, Measurement & Dashboards",1,Insufficient data,,org_0544e3760b9436c3,ind_37478f8fb5db2bb6,Large Community Hospital,Toronto Region,2024/25,excluded,false,outside primary ED analysis scope,false,2,2,false,true,false,false,"[""intervention_75a213e09c21fb738165""]"
cycle_a1942000bbc8ba812424,Care Coordination & Communication,Care Coordination & Communication,1,Insufficient data,,org_0544e3760b9436c3,ind_37478f8fb5db2bb6,Large Community Hospital,Toronto Region,2025/26,excluded,false,outside primary ED analysis scope,false,4,3,false,true,false,true,"[""intervention_6cd25cc1aa4c257e226b""]"
cycle_a1942000bbc8ba812424,"Data, Measurement & Dashboards","Data, Measurement & Dashboards",1,Insufficient data,,org_0544e3760b9436c3,ind_37478f8fb5db2bb6,Large Community Hospital,Toronto Region,2025/26,excluded,false,outside primary ED analysis scope,false,4,3,false,true,false,true,"[""intervention_380f6756058b2b1bd5f8""]"
cycle_a1942000bbc8ba812424,Other,Other,1,Insufficient data,,org_0544e3760b9436c3,ind_37478f8fb5db2bb6,Large Community Hospital,Toronto Region,2025/26,excluded,false,outside primary ED analysis scope,false,4,3,false,true,false,true,"[""intervention_f5a1d505fb47b71d5e89""]"
cycle_a1942000bbc8ba812424,Policy / Standardization,Policy / Standardization,1,Insufficient data,,org_0544e3760b9436c3,ind_37478f8fb5db2bb6,Large Community Hospital,Toronto Region,2025/26,excluded,false,outside primary ED analysis scope,false,4,3,false,true,false,true,"[""intervention_5ca3f32ce88b33e1b8d9""]"
cycle_9e4402a7f2bd482a06fc,Bed & Capacity Management,Bed & Capacity Management,1,Insufficient data,,org_0544e3760b9436c3,ind_3fdbfa1beb8cd349,Large Community Hospital,Toronto Region,2024/25,needs_review,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_552d9df368567cbea4b7""]"
cycle_5ab38c725110f47503da,Bed & Capacity Management,Bed & Capacity Management,1,Insufficient data,,org_0544e3760b9436c3,ind_50d5738b48c86253,Large Community Hospital,Toronto Region,2024/25,needs_review,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_b0f710fb947c694e1e09""]"
cycle_7dc5b135abaa67720584,Admission & Transfer Process,Admission & Transfer Process,1,Insufficient data,,org_0544e3760b9436c3,ind_50d5738b48c86253,Large Community Hospital,Toronto Region,2025/26,needs_review,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_365f91b064799d922d3e""]"
cycle_dd97d813437942277ab8,Training & Education,Training & Education,1,Insufficient data,,org_0544e3760b9436c3,ind_5314e24f5f6e6912,Large Community Hospital,Toronto Region,2024/25,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_d682d91d970f44b3f964""]"
cycle_5d60c226d184d19820fe,Training & Education,Training & Education,2,Insufficient data,,org_0544e3760b9436c3,ind_5314e24f5f6e6912,Large Community Hospital,Toronto Region,2025/26,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_82ed1142fc710288a6cf"",""intervention_a1b4eb4de9f492ddc1dc""]"
cycle_5fceee6b6b56ac0c8c01,Discharge & Transition Planning,Discharge & Transition Planning,1,Insufficient data,,org_0544e3760b9436c3,ind_5b2e1352e31909e8,Large Community Hospital,Toronto Region,2025/26,included,false,reporting_period_unverified,false,1,1,true,false,true,false,"[""intervention_86c35af0bd6c2380a35e""]"
cycle_18824b557daeeddf0bfa,Discharge & Transition Planning,Discharge & Transition Planning,1,Insufficient data,,org_0544e3760b9436c3,ind_67ee717abbe20a1b,Large Community Hospital,Toronto Region,2024/25,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_e55f62b760bb2b2b967b""]"
cycle_f427a2f6161614a01496,Discharge & Transition Planning,Discharge & Transition Planning,1,Insufficient data,,org_0544e3760b9436c3,ind_67ee717abbe20a1b,Large Community Hospital,Toronto Region,2025/26,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_3e11ee5b5b9e973e2404""]"
cycle_b7ab8c73db475c5730b4,Bed & Capacity Management,Bed & Capacity Management,1,Insufficient data,,org_0544e3760b9436c3,ind_76002f26f7141f1f,Large Community Hospital,Toronto Region,2024/25,needs_review,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_a3735811750c4cd07937""]"
cycle_4988e3fc79569a985c61,Admission & Transfer Process,Admission & Transfer Process,1,Insufficient data,,org_0544e3760b9436c3,ind_76002f26f7141f1f,Large Community Hospital,Toronto Region,2025/26,needs_review,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_40e2ab34286fe0274e5d""]"
cycle_d38dd53f302dadee8845,Admission & Transfer Process,Admission & Transfer Process,1,Insufficient data,,org_0544e3760b9436c3,ind_7ebd4762b8a6c688,Large Community Hospital,Toronto Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_0c4aeed32b9300b9dba8""]"
cycle_12455874b439cea8a6b1,Admission & Transfer Process,Admission & Transfer Process,2,Insufficient data,,org_0544e3760b9436c3,ind_a8f6cca5fe8befdf,Large Community Hospital,Toronto Region,2024/25,excluded,false,outside primary ED analysis scope,false,2,2,false,true,false,false,"[""intervention_68697c262537ec105830"",""intervention_950ede8cdf7284f37ee6""]"
cycle_12455874b439cea8a6b1,Policy / Standardization,Policy / Standardization,1,Insufficient data,,org_0544e3760b9436c3,ind_a8f6cca5fe8befdf,Large Community Hospital,Toronto Region,2024/25,excluded,false,outside primary ED analysis scope,false,2,2,false,true,false,false,"[""intervention_fe7641e876a288369505""]"
cycle_8f0dbbd83215de99a2d8,Bed & Capacity Management,Bed & Capacity Management,1,Insufficient data,,org_0544e3760b9436c3,ind_a8f6cca5fe8befdf,Large Community Hospital,Toronto Region,2025/26,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_a8c343f024c19f05f5f8""]"
cycle_c14addacf39cb28ab559,Bed & Capacity Management,Bed & Capacity Management,1,Insufficient data,,org_0544e3760b9436c3,ind_c2ff2b1872f9acce,Large Community Hospital,Toronto Region,2024/25,needs_review,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_459670bb62937fe773fe""]"
cycle_8a1a377ac65aa74db117,Admission & Transfer Process,Admission & Transfer Process,1,Insufficient data,,org_0544e3760b9436c3,ind_c2ff2b1872f9acce,Large Community Hospital,Toronto Region,2025/26,needs_review,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_18262dd1d42174296063""]"
cycle_cf9a559c0f2a968772ae,Training & Education,Training & Education,1,Insufficient data,,org_0544e3760b9436c3,ind_cd57992e4ca687e8,Large Community Hospital,Toronto Region,2024/25,needs_review,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_040739211986c83a3b66""]"
cycle_ad930ccf3f2a94ba68a3,Admission & Transfer Process,Admission & Transfer Process,1,Insufficient data,,org_0544e3760b9436c3,ind_e666bcb709405e0f,Large Community Hospital,Toronto Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_d8ec515eb4fcce68e86f""]"
cycle_65c5ae4af191e586861e,Admission & Transfer Process,Admission & Transfer Process,1,Insufficient data,,org_0544e3760b9436c3,ind_e7cd9b5804f1c518,Large Community Hospital,Toronto Region,2025/26,included,false,reporting_period_unverified,false,1,1,true,false,true,false,"[""intervention_11ac55b612be8d861530""]"
cycle_bb8317a10c33f03b0a22,Bed & Capacity Management,Bed & Capacity Management,1,Insufficient data,,org_0544e3760b9436c3,ind_ee70b593aad3e4f6,Large Community Hospital,Toronto Region,2024/25,included,false,insufficient first-cycle ED longitudinal coverage,false,1,1,true,false,true,false,"[""intervention_ec4e69625971f1b3cdcc""]"
cycle_c1d13bbd0852862fc3c4,Admission & Transfer Process,Admission & Transfer Process,1,Insufficient data,,org_0544e3760b9436c3,ind_ee70b593aad3e4f6,Large Community Hospital,Toronto Region,2025/26,included,false,reporting_period_unverified,false,1,1,true,false,true,false,"[""intervention_19a8f9b2560f8956948e""]"
cycle_53d5bbff8ec93e6ab67a,Bed & Capacity Management,Bed & Capacity Management,1,Insufficient data,,org_0544e3760b9436c3,ind_ef4a9573ead4ee92,Large Community Hospital,Toronto Region,2024/25,included,false,insufficient first-cycle ED longitudinal coverage,false,1,1,true,false,true,false,"[""intervention_1aec643f397407bd8306""]"
cycle_13e31dfcea92fb34656a,Admission & Transfer Process,Admission & Transfer Process,1,Insufficient data,,org_0544e3760b9436c3,ind_ef4a9573ead4ee92,Large Community Hospital,Toronto Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_3a73ee8e1f495dddc841""]"
cycle_a3a5563284495b184243,Admission & Transfer Process,Admission & Transfer Process,1,Insufficient data,,org_0544e3760b9436c3,ind_f197a93604c302d2,Large Community Hospital,Toronto Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_8749e04493598dea2229""]"
cycle_b3554150a64341c82666,Care Coordination & Communication,Care Coordination & Communication,1,Insufficient data,,org_08b519baf6f3ee0b,ind_0646035afd9bba7c,Unknown,West Region,2024/25,excluded,false,outside primary ED analysis scope,false,2,2,false,true,false,false,"[""intervention_41e4fdf597743e4ab9bb""]"
cycle_b3554150a64341c82666,Discharge & Transition Planning,Discharge & Transition Planning,1,Insufficient data,,org_08b519baf6f3ee0b,ind_0646035afd9bba7c,Unknown,West Region,2024/25,excluded,false,outside primary ED analysis scope,false,2,2,false,true,false,false,"[""intervention_dc4947f0012f1099ccb9""]"
cycle_be6ce5dde7705cde051e,Discharge & Transition Planning,Discharge & Transition Planning,1,Insufficient data,,org_08b519baf6f3ee0b,ind_0646035afd9bba7c,Unknown,West Region,2025/26,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_64aa3e2cff59b2a5eb91""]"
cycle_45e65ad78f526f6dd2ff,"Data, Measurement & Dashboards","Data, Measurement & Dashboards",1,Insufficient data,,org_08b519baf6f3ee0b,ind_1fda25009ab87bcd,Unknown,West Region,2025/26,needs_review,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_b61d2d32e418460fad3c""]"
cycle_69cef16156299dcbef09,"Data, Measurement & Dashboards","Data, Measurement & Dashboards",1,Insufficient data,,org_08b519baf6f3ee0b,ind_40027d460e483e1d,Unknown,West Region,2024/25,needs_review,false,outside primary ED analysis scope,false,2,2,false,true,false,false,"[""intervention_09c1495550dd4634c1f8""]"
cycle_69cef16156299dcbef09,Training & Education,Training & Education,1,Insufficient data,,org_08b519baf6f3ee0b,ind_40027d460e483e1d,Unknown,West Region,2024/25,needs_review,false,outside primary ED analysis scope,false,2,2,false,true,false,false,"[""intervention_843a6461b2b2afd55d13""]"
cycle_e9c1281b90729ee7a354,Discharge & Transition Planning,Discharge & Transition Planning,1,Insufficient data,,org_08b519baf6f3ee0b,ind_43a790d3afe0c937,Unknown,West Region,2024/25,needs_review,false,outside primary ED analysis scope,false,2,2,false,true,false,false,"[""intervention_56d016b68a46d46af48b""]"
